T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
13.4,18.2,2.8,1022,66,1.8,0.9,3.5,284.79583333333335
16.8,21.6,6.7,1021,64,1.8,1.9,3.5,219.72083333333333
17.1,21.6,8.8,1018.4,65,3.5,2.2,5.4,182.1875
13.4,17.7,12.5,1014.6,96,1.8,0.9,3.5,223.20833333333334
11.8,14.5,9,1020.3,79,3.1,2.8,5.4,200.64583333333337
13.3,17.2,6.7,1019.4,66,1.8,1.9,3.5,154.875
12.4,17.2,9.8,1019,93,1.3,0.4,1.9,47.82500000000001
11.7,15.8,6.8,1019.8,80,1.6,4.1,5.4,108.0
12.4,15.8,10,1019.6,94,0.6,0.9,3.5,125.89166666666667
16.8,18.4,10.8,1010.7,77,1.9,4.4,5.4,171.42916666666665
16.2,20,9,1017.7,58,2.7,5.6,7.6,251.82916666666668
12.8,20.2,7.5,1015.9,69,2.7,2.2,3.5,319.7375
13.9,18,8,1019.9,69,1.8,3.5,5.4,279.59999999999997
14.7,20.2,5.2,1017.2,64,1.8,1.9,3.5,166.29999999999998
16.5,20,8,1017,54,1.8,3.1,5.4,78.25416666666666
16.7,22,7.9,1019.2,58,1.8,0.9,3.5,211.125
17,22.2,6.8,1019.7,55,1.9,1.9,3.5,192.29166666666666
20,24.3,11.1,1011.9,42,3.1,7.4,9.4,109.33333333333333
20.2,24.8,9.1,1016,53,1.9,1.9,3.5,0.0
20.7,25.2,11.3,1013.6,38,2.6,4.6,7.6,0.0
20.2,23.2,13.1,1020.1,65,1.9,2.2,5.4,119.33333333333333
21.7,24.4,13.2,1017.8,62,1.9,1.9,3.5,67.125
20.7,24.2,13.2,1014.3,72,1.8,3.1,5.4,81.04166666666667
20.2,25,14.4,1013,72,1.9,6.1,7.6,21.208333333333332
23.4,27.8,14,1010.9,49,2.6,0.9,3.5,1.7916666666666667
17.1,23.4,14.4,1010.7,82,1.9,8,11.1,105.83333333333333
21.2,24.2,12.6,1012.2,48,2.6,5,7.6,76.54166666666667
21.7,26.6,15,1013.3,62,1.9,6.9,9.4,59.208333333333336
20.3,25,14.6,1014.5,60,1.9,5.6,7.6,77.20833333333333
20.4,24,11.3,1016.9,56,1.9,2.8,3.5,87.83333333333333
25.3,28.8,17,1010.6,53,1.9,2.8,3.5,123.70833333333333
26.4,29.8,15.4,1010.2,52,1.9,1.3,3.5,64.79166666666667
26.7,30.2,17.1,1010.3,52,1.9,1.9,3.5,62.875
26.9,32.1,20.4,1011.5,48,1.9,7.4,9.4,128.33333333333334
22.4,30.1,19.6,1013.8,73,1.9,1.3,5.4,87.58333333333333
24.5,27,16,1013.8,63,1.9,2.8,3.5,2.9166666666666665
29.9,32.8,17.5,1009.4,36,3.5,0.4,1.9,15.166666666666666
27.1,33,17.9,1009.6,44,1.9,8.9,11.1,21.25
26.4,30.5,16.7,1010.9,34,1.9,6.1,7.6,25.75
31.4,35,17.6,1010.2,35,3.1,2.2,5.4,64.79166666666667
32.3,35.4,19.1,1011.7,35,3.1,2.8,3.5,87.375
31.6,36.1,21,1009.3,34,3.1,2.8,5.4,84.5
32.2,37.7,24.2,1005.7,34,3.1,5.6,7.6,77.04166666666667
31.2,36.4,21.4,1008,36,3.1,2.8,7.6,110.875
30.1,35,19,1006.8,47,3.5,0.9,1.9,42.958333333333336
30.5,34.5,21.5,1006.2,37,2.6,1.9,3.5,106.95833333333333
31.9,34.6,18.5,1004.8,37,3.1,2.8,3.5,120.875
32.1,35.8,22,1005,35,1.9,2.8,3.5,79.91666666666667
32.8,35.4,23.4,1007.2,46,3.1,1.3,3.5,94.75
31.3,36.8,22,1006,51,3.5,1.3,3.5,142.5
30.6,34.4,22.4,1006.1,51,1.9,8.3,11.1,133.375
29.8,33.6,23.4,1006.3,59,1.9,5,5.4,102.41666666666667
30,34.9,18.6,1006.7,41,1.9,3.5,5.4,158.29166666666666
32.9,35.2,22,1004.8,45,1.9,1.3,3.5,149.58333333333334
33.2,36.5,23,1005.8,49,1.9,2.8,5.4,107.29166666666667
30.2,33.6,23.5,1006.3,58,1.9,0.9,3.5,106.5
34.5,38.2,22.5,1005,42,1.9,0.9,3.5,128.125
34.9,38.2,22.8,1004,30,1.9,6.1,7.6,108.0
36.9,40,21.2,1000.1,21,3.5,1.3,3.5,98.41666666666667
35.7,40,22.7,999.1,23,4,5,9.4,94.375
36.1,42.4,24.3,1000,41,1.9,5,5.4,87.25
38.6,44.5,24.8,997.2,28,3.5,3.5,3.5,93.5
31.9,42,28.6,999.2,48,3.1,7.4,9.4,97.625
29.8,35.2,22.3,1003.6,60,1.9,8.3,11.1,76.95833333333333
29.7,32.2,20.9,1007.2,63,1.9,5,7.6,45.375
29.3,33.2,19.8,1005.1,59,1.9,1.9,7.6,65.16666666666667
32.9,35,23.2,1002.6,49,1.9,1.9,3.5,67.08333333333333
32.3,34.4,24.1,1000.6,55,1.9,2.2,5.4,70.25
35.4,37.2,25,1000.3,50,2.6,0.9,3.5,75.125
35.6,39,26.6,998.7,52,1.9,1.9,3.5,57.375
36.3,39.4,27.2,997.3,50,1.9,2.8,3.5,40.833333333333336
34.4,39.7,27,995.4,59,3.5,2.2,5.4,93.08333333333333
34.1,39,27.3,997.6,64,1.9,3.1,5.4,90.70833333333333
31.8,34.8,27,1001.8,67,1.9,3.1,3.5,63.5
29.3,34,27,1002.9,78,1.9,3.1,3.5,50.708333333333336
33.6,35.4,26.5,998.9,63,1.9,1.9,3.5,40.375
32.5,40,27.4,999.9,68,1.9,6.3,11.1,49.583333333333336
32.3,35,25.3,1000.7,69,1.9,3.5,3.5,61.875
33.5,35,27.6,999,65,1.9,2.2,5.4,0.0
34.1,37.6,28,996.4,65,1.9,1.3,3.5,47.75
30.8,33,25.2,1001.5,76,1.9,2.2,3.5,29.833333333333332
34.4,36.9,28.2,994.6,65,1.9,0.9,3.5,56.708333333333336
29.8,36.9,23.4,997,77,1.9,0.9,3.5,39.25
32.9,34.8,27.2,998.3,67,1.9,4.1,5.4,54.875
30.3,35.3,27.6,999.9,84,1.9,0.9,3.5,65.75
27.7,32.2,23.5,1001.4,88,1.9,2.8,3.5,38.583333333333336
30.6,32.8,23.4,999.5,71,1.9,0.9,3.5,45.583333333333336
31.4,33.6,25.4,1003.1,70,1.9,5,7.6,33.166666666666664
29.6,36.4,24.4,1000.3,83,1.9,3.5,5.4,35.375
27.6,32.3,25.8,1002.5,92,1.9,0.9,3.5,15.416666666666666
30.2,32,26,1001.2,81,1.9,3.5,3.5,41.375
29.2,32.8,24,1000.8,84,1.9,0.9,3.5,25.541666666666668
32.5,34.6,26.4,998.2,72,1.9,0.9,3.5,28.375
33.8,35.6,27.2,994,69,1.9,1.9,3.5,40.333333333333336
32.3,35.8,26.9,1000.2,67,1.9,6.9,9.4,35.375
28.2,29,25.2,996.5,88,1.9,2.8,5.4,21.125
31.7,33,26,996.2,77,1.9,0.4,1.9,18.0
31.3,33.6,26.5,997.1,79,1.9,3.5,3.5,28.041666666666668
29.9,32,23,1002.7,76,1.9,5.4,5.4,28.75
31.1,33,25.1,1001.7,70,1.9,8.5,11.1,70.54166666666667
28.6,32.5,25.7,1001,83,1.9,0.9,3.5,41.041666666666664
31.2,32.9,24,1000.1,71,1.9,0.9,3.5,45.25
30.4,32.2,24.8,1003.1,67,1.9,5.9,7.6,33.166666666666664
31.4,32.8,24.2,1004,65,2.6,3.5,3.5,30.625
31.1,33.8,25.4,1006.2,71,1.9,0.9,3.5,30.333333333333332
31.9,33.8,26.2,1006.8,67,1.9,5,7.6,31.75
33.3,36,25.2,1004,63,1.9,0.4,1.9,76.875
32.3,35.8,25.9,1004.4,70,1.9,1.9,3.5,83.45833333333333
33.8,36,27.2,1000.4,62,1.9,3.5,5.4,69.70833333333333
33.2,36.7,25.9,1001.1,65,1.9,1.3,3.5,62.375
33.3,36,25.6,1000.5,63,1.9,0.4,1.9,24.875
31.8,35,24.1,1002.5,62,1.9,1.9,3.5,43.958333333333336
32.4,34.8,24.9,1001.3,57,1.9,1.3,5.4,41.5
31.5,34.6,22,1003.5,52,1.9,2.8,5.4,26.666666666666668
31.4,35.9,19.9,1005,46,2.6,2.8,3.5,34.25
31.4,35.8,18.7,1005.8,42,1.9,2.8,3.5,62.708333333333336
31.3,35.5,19.3,1008.3,48,1.9,1.9,3.5,41.583333333333336
31.2,35.1,19.4,1008.6,47,2.6,0.9,3.5,50.916666666666664
30.8,35.8,18.9,1007.4,49,1.9,0.9,1.9,40.958333333333336
29.9,34.6,20.1,1007,45,1.9,0.9,3.5,115.83333333333333
29.8,35.1,17.6,1007,35,3.1,0.9,3.5,149.66666666666666
28.8,33.6,15,1008.2,32,3.1,0.4,1.9,173.58333333333334
28.2,33.9,14.9,1006.3,39,2.6,0.9,3.5,174.66666666666666
25.8,31.6,13,1013.4,47,1.9,0.4,1.9,207.33333333333334
26.3,31.4,14,1012.2,42,2.6,1.9,3.5,149.625
24.8,30.3,14.4,1013.3,37,1.9,1.3,3.5,217.375
23.3,29.1,12,1015.8,57,1.9,0.4,1.9,235.33333333333334
23.3,28.6,11.4,1015.2,55,1.8,2.8,3.5,153.29166666666666
22.1,27.6,11.9,1014.9,57,1.6,2.2,5.4,210.54166666666666
21.5,27.1,14.2,1016.6,66,1.9,3.1,5.4,251.20833333333334
20.1,24.9,9.8,1014.5,50,1.9,0.9,3.5,194.70833333333334
19.5,24.8,10.6,1015.2,33,3.1,5.6,9.4,250.875
19.3,23.8,9.4,1016.2,36,1.9,2.8,3.5,274.875
21.3,26.6,11,1019.8,48,1.9,3.1,5.4,217.91666666666666
20.4,26.6,10.9,1018.9,46,2.6,1.9,3.5,184.20833333333334
20,25.4,8.5,1017.7,56,1.8,0.9,3.5,176.375
20.5,26.4,9.8,1014.8,57,1.8,0.4,1.9,185.95833333333334
19.9,25.4,9.4,1014.4,63,1.8,0.4,1.9,195.375
20.8,26.3,11.9,1016.7,65,1.8,1.3,3.5,365.2916666666667
15.3,18.2,11.6,1015.7,84,1.8,2.2,3.5,202.875
14.2,17.7,8,1017.4,70,1.8,1.9,3.5,260.1666666666667
14.2,17.6,6,1019.5,63,1.8,2.8,3.5,403.9583333333333
16,20,5.5,1018.3,41,1.9,2.8,5.4,284.1666666666667
15.4,20.9,5.2,1019,50,1.9,0.9,3.5,288.4166666666667
16.1,20.6,5.1,1017,61,1.9,0.4,1.9,256.8333333333333
16.2,21,6.9,1016.2,53,1.8,0.4,1.9,186.04166666666666
14.5,20.8,5.2,1013.9,71,1.4,1.3,1.9,185.58333333333334
15.2,20,7.6,1017.1,43,1.9,3.1,5.4,114.08333333333333
